ts,symbol,dir,entry,tp1,sl,grade
2025-09-01 20:55:47 UTC,TRUMP/USDT,short,8.32200000,8.31040000,8.29880000,8.28720000,8.33360000,63.88,A,0.1394,2.0291,0.0000,-0.1948,1.2016
2025-09-01 20:55:47 UTC,IP/USDT,short,7.69300000,7.67640000,7.65980000,7.64320000,7.70960000,60.70,A,0.2158,1.9897,0.0000,-0.6535,2.5998
2025-09-01 20:55:47 UTC,DOGE/USDT,short,0.20920000,0.20889200,0.20858400,0.20827600,0.20950800,60.23,A,0.1472,0.2850,0.0000,-0.4817,0.4780
2025-09-01 20:56:40 UTC,LINK/USDT,short,22.45300000,22.42160000,22.39020000,22.35880000,22.48440000,62.57,A,0.1398,0.9852,0.0000,-0.3714,0.4454
2025-09-01 20:58:01 UTC,ADA/USDT,short,0.79520000,0.79388000,0.79256000,0.79124000,0.79652000,63.90,A,0.1660,1.9260,0.0000,-0.5410,1.2573
2025-09-01 20:58:01 UTC,SUI/USDT,short,3.16810000,3.16414000,3.16018000,3.15622000,3.17206000,60.01,A,0.1250,0.7928,0.0000,-0.3436,0.3157
2025-09-01 20:58:27 UTC,ENA/USDT,short,0.61950000,0.61838000,0.61726000,0.61614000,0.62062000,63.72,A,0.1808,2.2101,0.0000,-0.2936,1.6167
2025-09-01 20:59:37 UTC,ENA/USDT,short,0.61740000,0.61566000,0.61392000,0.61218000,0.61914000,64.84,A,0.2818,1.8363,0.0000,-0.5407,1.6193
2025-09-01 21:01:00 UTC,DOGE/USDT,short,0.20918000,0.20881400,0.20844800,0.20808200,0.20954600,60.22,A,0.1750,1.1910,0.0000,-0.3953,0.4780
2025-09-01 21:01:40 UTC,SUI/USDT,short,3.16120000,3.15538000,3.14956000,3.14374000,3.16702000,60.96,A,0.1841,1.0146,0.0000,-0.8298,0.3165
2025-09-01 21:01:54 UTC,ETH/USDT,short,4279.50000000,4272.89000000,4266.28000000,4259.67000000,4286.11000000,63.07,A,0.1545,0.8982,0.0000,-0.8343,0.1168
2025-09-01 21:01:54 UTC,LINK/USDT,short,22.40800000,22.36820000,22.32840000,22.28860000,22.44780000,62.15,A,0.1776,0.7975,0.0000,-0.9242,0.4462
2025-09-01 21:01:54 UTC,SUI/USDT,short,3.16140000,3.15534000,3.14928000,3.14322000,3.16746000,61.71,A,0.1917,1.3247,0.0000,-0.7714,0.6324
2025-09-01 21:02:07 UTC,SOL/USDT,short,197.17000000,196.80000000,196.43000000,196.06000000,197.54000000,67.63,A,0.1877,3.0589,0.0000,-0.1806,0.5071
2025-09-01 21:02:07 UTC,SUI/USDT,short,3.16230000,3.15624000,3.15018000,3.14412000,3.16836000,64.57,A,0.1916,1.5593,0.0000,-0.8096,0.3161
2025-09-01 21:02:07 UTC,ETH/USDT,short,4278.80000000,4272.18000000,4265.56000000,4258.94000000,4285.42000000,61.16,A,0.1547,1.0930,0.0000,-0.4703,0.1169
2025-09-01 21:02:49 UTC,LINK/USDT,short,22.36700000,22.32240000,22.27780000,22.23320000,22.41160000,63.42,A,0.1994,1.2778,0.0000,-0.4505,0.4469
2025-09-01 21:02:54 UTC,LINK/USDT,short,22.37600000,22.33140000,22.28680000,22.24220000,22.42060000,65.23,A,0.1993,1.4028,0.0000,-0.5596,0.4469
2025-09-01 21:02:54 UTC,TA/USDT,short,0.11805000,0.11778000,0.11751000,0.11724000,0.11832000,60.91,A,0.2287,0.8938,0.0000,-0.8365,1.6941
2025-09-01 21:03:01 UTC,LINK/USDT,short,22.39000000,22.34540000,22.30080000,22.25620000,22.43460000,64.78,A,0.1992,1.6568,0.0000,-0.3622,0.4466
2025-09-01 21:03:01 UTC,PYTH/USDT,short,0.16111000,0.16080200,0.16049400,0.16018600,0.16141800,60.16,A,0.1912,1.4463,0.0000,-0.1556,0.6204
2025-09-01 21:03:27 UTC,TRUMP/USDT,short,8.28600000,8.27440000,8.26280000,8.25120000,8.29760000,62.48,A,0.1400,1.7845,0.0000,-0.1275,1.2071
